Population,Treatment,DamID,SlideID,PlacentaID,Image_Replicate,Points_No_Category,Points_MaternalBloodVolume,Points_FetalBloodVolume,Points_Tissue,Points_NucleiClump,TotalPoints,Pct_MaternalBloodVolume,Pct_FetalBloodVolume,Pct_Tissue,Pct_NucleiClump,Pct_TissNuc,Sum,Counter,Concat
1Lowlander,2Hypoxic,BW32,B1,P3,b,2,99,88,186,25,400,24.75,22,46.5,6.25,52.75,99.5,KJ,BW32B1P3b
1Lowlander,2Hypoxic,BW28,A1,P3,b,2,97,89,189,23,400,24.25,22.25,47.25,5.75,53,99.5,KK,BW28A1P3b
1Lowlander,1Normoxic,BW30,C1,P1,b,2,44,89,248,17,400,11,22.25,62,4.25,66.25,99.5,KK,BW30C1P1b
1Lowlander,2Hypoxic,BW21,B1,P3,a,2,141,90,139,28,400,35.25,22.5,34.75,7,41.75,99.5,KK,BW21B1P3a
1Lowlander,2Hypoxic,BW15,A2,P2,c,2,120,92,158,28,400,30,23,39.5,7,46.5,99.5,KK,BW15A2P2c
1Lowlander,2Hypoxic,BW22,C1,P3,c,2,117,93,175,13,400,29.25,23.25,43.75,3.25,47,99.5,KK,BW22C1P3c
1Lowlander,1Normoxic,BW30,C1,P3,c,2,47,93,248,10,400,11.75,23.25,62,2.5,64.5,99.5,KK,BW30C1P3c
1Lowlander,2Hypoxic,BW34,B1,P2,c,2,102,94,182,20,400,25.5,23.5,45.5,5,50.5,99.5,KJ,BW34B1P2c
1Lowlander,1Normoxic,BW26,A1,P2,a,2,79,95,196,28,400,19.75,23.75,49,7,56,99.5,KK,BW26A1P2a
1Lowlander,2Hypoxic,BW34,B1,P3,c,2,74,95,201,28,400,18.5,23.75,50.25,7,57.25,99.5,KJ,BW34B1P3c
1Lowlander,1Normoxic,BW26,C1,P1,c,2,59,96,205,38,400,14.75,24,51.25,9.5,60.75,99.5,KK,BW26C1P1c
1Lowlander,1Normoxic,BW30,C1,P2,a,2,78,96,213,11,400,19.5,24,53.25,2.75,56,99.5,KK,BW30C1P2a
1Lowlander,2Hypoxic,BW34,B1,P1,a,2,86,96,194,22,400,21.5,24,48.5,5.5,54,99.5,KJ,BW34B1P1a
1Lowlander,1Normoxic,BW45,A1,P3,b,2,124,96,148,30,400,31,24,37,7.5,44.5,99.5,KJ,BW45A1P3b
1Lowlander,2Hypoxic,BW15,A2,P2,a,2,158,97,124,19,400,39.5,24.25,31,4.75,35.75,99.5,KK,BW15A2P2a
1Lowlander,1Normoxic,BW26,A1,P3,c,2,90,97,187,24,400,22.5,24.25,46.75,6,52.75,99.5,KK,BW26A1P3c
1Lowlander,2Hypoxic,BW16,B1,P1,a,2,110,98,162,28,400,27.5,24.5,40.5,7,47.5,99.5,KK,BW16B1P1a
1Lowlander,1Normoxic,BW39,A2,P1,b,2,59,98,222,19,400,14.75,24.5,55.5,4.75,60.25,99.5,KJ,BW39A2P1b
1Lowlander,1Normoxic,BW44,A1,P3,b,2,95,98,194,11,400,23.75,24.5,48.5,2.75,51.25,99.5,KJ,BW44A1P3b
1Lowlander,2Hypoxic,BW34,B1,P2,a,2,78,99,190,31,400,19.5,24.75,47.5,7.75,55.25,99.5,KJ,BW34B1P2a
1Lowlander,1Normoxic,BW41,C1,P2,a,2,127,99,145,27,400,31.75,24.75,36.25,6.75,43,99.5,KJ,BW41C1P2a
1Lowlander,2Hypoxic,BW16,B1,P3,b,2,120,100,153,25,400,30,25,38.25,6.25,44.5,99.5,KK,BW16B1P3b
1Lowlander,1Normoxic,BW44,A1,P2,a,2,93,100,189,16,400,23.25,25,47.25,4,51.25,99.5,KJ,BW44A1P2a
1Lowlander,1Normoxic,BW39,A2,P1,a,2,55,101,211,31,400,13.75,25.25,52.75,7.75,60.5,99.5,KJ,BW39A2P1a
1Lowlander,1Normoxic,BW43,B2,P2,b,2,82,101,188,27,400,20.5,25.25,47,6.75,53.75,99.5,KJ,BW43B2P2b
1Lowlander,1Normoxic,BW44,A1,P2,c,2,107,102,174,15,400,26.75,25.5,43.5,3.75,47.25,99.5,KJ,BW44A1P2c
1Lowlander,1Normoxic,BW44,A1,P3,c,2,70,102,210,16,400,17.5,25.5,52.5,4,56.5,99.5,KJ,BW44A1P3c
1Lowlander,2Hypoxic,BW28,C1,P2,c,2,89,103,162,44,400,22.25,25.75,40.5,11,51.5,99.5,KJ,BW28C1P2c
1Lowlander,1Normoxic,BW45,A1,P3,a,2,117,104,155,22,400,29.25,26,38.75,5.5,44.25,99.5,KJ,BW45A1P3a
1Lowlander,2Hypoxic,BW15,A2,P2,b,2,133,106,136,23,400,33.25,26.5,34,5.75,39.75,99.5,KK,BW15A2P2b
1Lowlander,1Normoxic,BW41,C1,P1,a,2,80,107,178,33,400,20,26.75,44.5,8.25,52.75,99.5,KJ,BW41C1P1a
1Lowlander,1Normoxic,BW41,C1,P1,c,2,89,107,166,36,400,22.25,26.75,41.5,9,50.5,99.5,KJ,BW41C1P1c
